Index,Quality,Angle (degrees),Distance (mm)
7,15,18.875,244.0
7,15,22.109375,244.75
7,15,21.671875,245.0
7,15,24.9375,246.75
7,15,25.484375,249.5
7,15,27.515625,252.25
7,15,27.34375,254.0
7,15,28.546875,255.0
7,15,36.890625,272.0
7,15,48.765625,2492.25
7,15,50.1875,2498.0
7,15,51.59375,2472.25
7,15,54.453125,2336.75
7,15,55.90625,2281.5
7,15,57.296875,2223.0
7,15,58.71875,2163.0
7,15,60.140625,2111.5
7,15,61.546875,2072.0
7,12,74.328125,269.25
7,14,74.953125,264.0
7,15,76.84375,261.5
7,15,78.390625,259.25
7,15,79.90625,257.25
7,15,80.859375,255.5
7,15,82.65625,253.75
7,15,85.375,252.5
7,15,85.5,252.5
7,15,86.421875,253.25
7,15,87.84375,255.25
7,15,89.203125,258.0
7,15,90.578125,260.5
7,15,102.8125,375.75
7,15,103.984375,381.0
7,15,105.25,387.5
7,15,106.609375,391.5
7,15,107.96875,395.5
7,15,109.6875,400.0
7,15,110.8125,405.5
7,15,112.125,411.5
7,15,113.6875,417.5
7,15,114.796875,423.75
7,15,116.140625,430.25
7,15,117.59375,437.25
7,15,118.75,444.75
7,15,120.140625,453.25
7,15,121.71875,462.25
7,13,123.0625,470.75
7,15,124.375,480.75
7,15,125.515625,491.75
7,15,127.03125,504.0
7,14,128.25,518.5
7,15,146.1875,1369.75
7,15,147.671875,1347.75
7,15,149.0,1357.5
7,15,150.421875,1375.5
7,15,151.828125,1383.25
7,15,153.234375,1366.0
7,15,156.265625,1210.75
7,15,157.65625,1193.25
7,15,159.0625,1190.5
